ID,Original_Input,Gold_Reference,Baseline (Pivot)_Output,Baseline (Pivot)_Style,Baseline (Pivot)_Content,Baseline (Pivot)_Fluency,Baseline (Pivot)_Composite,Model 2 (ZeroShot)_Output,Model 2 (ZeroShot)_Style,Model 2 (ZeroShot)_Content,Model 2 (ZeroShot)_Fluency,Model 2 (ZeroShot)_Composite,Model 3 (Synthetic)_Output,Model 3 (Synthetic)_Style,Model 3 (Synthetic)_Content,Model 3 (Synthetic)_Fluency,Model 3 (Synthetic)_Composite
90,"也是一份光荣的专辑, 适合10年的展销期。",也是艺术界十年的一幕落幕。,也适合延长十年,0,0.646,37889.8,0.0,专辑适合10年的展销期。,1,0.849,47052.6,0.122,"也是一份专辑, 适合10年的展销期。",1,0.945,8399.6,0.224
91,"1860-1914年, 英国人认识到, 英国人经济实力比印度强, 但他对经济贸易帝国主义、巴格达德铁路、东欧对抗、高压政治言论和国内压力集团等争议轻描淡写。","中立的英国人与德国人、英国人和英国人交战, 1860-1914年, 声称德国人经济实力比印度强, 战争至关重要, 但他低估了经济贸易帝国主义、巴格达德铁路、东欧对抗、高压政治言论和国内压力集团等争议。",英国人低估了在经济贸易帝国主义、巴格达-德国铁路、东欧对抗、高压政治言论和国内压力集团等争议。,0,0.854,110563.6,0.0,"1860-1914年, 但他对经济贸易帝国主义、巴格达德铁路、东欧对抗、高压政治言论和国内压力集团等争议轻描淡写。",0,0.916,111975.2,0.0,"1860-1914年,英国人认识到英国经济实力比印度强,但他对经济贸易帝国主义、巴格达铁路、东欧对抗、高压政治言论和国内压力集团等争议轻描淡写。",0,0.982,138126.7,0.0
92,"许多非洲人认为,基督教长期以来与奴隶制和种族隔离联系在一起。","许多非裔美国人的心中,白种基督教与奴隶制和种族隔离联系在一起。",许多人认为基督教长期以来就与奴隶制和种族隔离联系在一起。,1,0.951,29387.5,0.148,"许多非洲人认为,基督教长期以来与奴隶制联系在一起。",1,0.967,17786.1,0.176,"许多非洲人认为,基督教长期以来与奴隶制和种族隔离有关。",1,0.952,34781.8,0.14
93,"这种无私活动导致Uaoc复兴对手的抵抗----12次对父亲和家人的袭击,警方记录了这些袭击,其中,企图杀害他们,造成严重后果,并纵火烧毁他们的住所。","警方记录了12起对父亲和家人的袭击,其中未遂杀害他们,造成严重后果,并纵火烧毁他们的住所。","这导致Uaoc的反对派抵抗重新建立,12起袭击父亲和家庭的事件,警方记录了这些事件,他们企图杀死他们,造成严重的后果,并烧毁他们的房屋。",1,0.838,6995.8,0.229,"这种无私活动导致Uaoc复兴对手的抵抗----警方记录了这些袭击,其中,企图杀害他们,造成严重后果,并纵火烧毁他们的住所。",1,0.95,24662.3,0.157,"这种无私活动导致Uaoc复兴对手的抵抗----12次袭击父亲和家人,警方记录了这些袭击,其中,企图杀害他们,造成严重后果,并纵火烧毁他们的住所。",1,0.984,20390.3,0.169
94,产品是经过连古柯可乐自己的产品测试者发现 人们更喜欢更甜的培普西味道后推出的。,产品是在古柯可乐自己的产品测试者确定许多人更喜欢更甜的培普西之后推出的。,"甚至在古柯可乐测试者发现人们更喜欢甜食百事可乐后,该产品也开始生产。",0,0.779,48081.1,0.0,产品是经过连古柯可乐自己的产品测试者发现人们更喜欢更甜的培普西味道后推出的。,1,1.0,23901.4,0.161,产品是经过连古柯可乐自己的产品测试者发现 人们更喜欢更甜的培普西味道后推出的。,1,1.0,23901.4,0.161
95,"1948年出生于奥克托尔6号, 曾任皮诺切特将军军事独裁时期的希兰经济学家和前部长。","1948年出生于奥克托尔6号, 曾任军事政权部长,","1948年生于第6号屋,",1,0.672,10895.3,0.183,"1948年出生于奥克托尔6号, 曾任皮诺切特将军军事独裁时期的希兰经济学家 ,前部长",0,0.977,73405.5,0.0,"1948年出生于奥克托尔6号, 曾任皮诺切特将军军事独裁时期的希兰经济学家和前部长。",0,1.0,56750.0,0.0
96,"Harris在强调目前伊斯兰在国际恐怖主义问题上造成的特殊问题的同时,公开攻击各种宗教的宗教,不论其形式和信仰如何。","Harris在强调目前伊斯兰认为国际恐怖主义问题时,公开攻击各种宗教的口号和信仰。","哈里斯公开攻击所有宗教的宗教,不论其形式和信仰如何,同时强调伊斯兰目前在国际恐怖主义问题上造成的特殊问题。",0,0.896,6500.9,0.0,"Harris在强调目前伊斯兰在国际恐怖主义问题上造成的特殊问题的同时,公开攻击各种宗教,不论其形式和信仰如何。",0,0.985,13321.1,0.0,"Harris在强调目前伊斯兰在国际恐怖主义问题上造成的特殊问题的同时,公开攻击各种宗教,不论其形式和信仰如何。",0,0.985,13321.1,0.0
97,"1822年6月17日,当他身处塞尔比亚(见下文)时,第j. j. afrik与19岁的Jlia ambrzy de sden(;18031876)结婚,他是1803年出生的本日塞里比亚的低年级高智者。","1822年6月17日,当他身处塞尔比亚(见下文)时,第j. j. afrik与19岁的Jlia ambrziov(;18031876)结婚,他是1803年出生的本日塞里雅的低年级高智商成员。","1822年6月17日,当他在塞尔维亚(见下文)时,他与19岁的Jlia ambrzy de Sden(1803 1876)结婚,后者是1803年出生的初级作家。",1,0.859,2994.7,0.306,"1822年6月17日,当他身处塞尔比亚(见下文)时,第j. j. afrik与19岁的Jlia ambrzy de sden(;18031876)结婚,他是 1803年出生的本日塞里",1,0.958,3041.7,0.316,"1822年6月17日,当他身处塞尔比亚(见下文)时,第j. j. afrik与19岁的Jlia ambrzy de sden(;18031876)结婚。",1,0.933,5511.4,0.257
98,贾斯汀·泰勒(Justin Taylor)描述了该文本对历史研究的有用性。,贾斯汀·泰勒(Justin Taylor)描述了该文本对历史研究的有用性。,作者和历史学家Justin Taylor描述了该文本对历史研究的用处。,1,0.823,4298.6,0.267,贾斯汀·泰勒(Justin Taylor)阐述了该文本对历史研究的有用性:,1,0.985,1687.3,0.388,贾斯汀·泰勒描述了该文本对历史研究的有用性。,1,0.948,1812.7,0.374
99,1968年 古代史上第一最好的一号,1968年 古代史上第一个,1968年 古代史上第一名 1968年,1,0.829,733.1,0.483,1968年 古代史上第一号无人驾驶飞机翱翔翔蓝天,1,0.743,41843.4,0.121,1968年 古代史上第一号,1,0.87,2900.3,0.311
